City Name,Year,Building Density,Driving Road Density,Cycling Road Density,Walking Road Density,POI Density,Commercial,Industrial,Construction,Residential,White_Black,White_Asian,White_Hispanic,Black_Asian,Black_Hispanic,Asian_Hispanic,Entropy
Lubbock city,2017,14.91465762,11.35538477,10.73689788,10.93618974,5.140047658,0.008815323,0.001737365,0.000955389,0.047964288,0.5914235564091588,0.4969330858058571,0.4168305820482701,0.7151816428425264,0.5031322622657584,0.6241002725831009,0.9780143642855166
Lubbock city,2018,25.80531109,11.52577309,11.03759635,11.27946825,9.817207047,0.0259814,0.010476398,0.00258517,0.282447316,0.5777656143693495,0.4577803736680447,0.4147793454088573,0.6958653774464255,0.4845453649526733,0.6146902538309488,0.9804905833140458
Lubbock city,2019,25.99273824,11.57609444,11.09323382,11.36617603,10.24317785,0.026000431,0.010476398,0.002015722,0.282959452,0.5648792504217854,0.4689459523901892,0.4204255352234723,0.688882805455871,0.4699617601136795,0.6123855166808188,0.9835551339479792
Lubbock city,2020,49.76758851,12.68470332,12.25994228,12.60805414,12.10325034,0.018384287,0.025578613,0.001730933,0.290793137,0.6073374471673637,0.5503212886389105,0.4265943108237864,0.7323631320889225,0.5184894969462512,0.6566083350817761,0.9874507119309828
Lubbock city,2021,106.42170496750744,14.018434939387284,13.589206882263234,14.02821238915922,13.142619095120066,0.0196668295017452,0.0331913623481096,0.0018555665827028,0.2949351892071717,0.5924139024655152,0.5570979765366061,0.4322955637156395,0.7598186928751645,0.4822673514337705,0.6901120464180994,0.996396070567128
Lubbock city,2022,161.97397695081315,14.602565858175453,14.700414190833502,15.30228537355581,14.50004604573964,,,,,,,,,,,
Lubbock city,2023,179.9811825865427,14.895815516394656,15.0059687255737,15.617682673590666,14.914657624799178,0.0180949633344451,0.0354295263930945,0.004613462426115,0.3013494004371547,,,,,,,
Madison city,2014,20.14116617,8.489384906,8.525755255,9.466608132,6.198752678,0.007189237,0.004514859,0.0,0.048771985,0.5071138626378342,0.4585133992949505,0.4985150338992075,0.6169009370816599,0.4650660158749751,0.5801663883870759,0.7953443074890101
Madison city,2015,24.27876666,8.77674929,8.911959344,10.13469295,7.724540659,0.080179984,0.044338782,2.71e-05,0.219089065,0.4977680004276006,0.4280310270965757,0.4979350511384232,0.5902595193051895,0.4794099928572152,0.545482579023845,0.7996098310294028
Madison city,2016,44.70291104,9.266898163,9.448164835,12.78885276,10.31340899,0.093464829,0.046815778,0.000373505,0.24470553,0.4970200962847725,0.4200117556008594,0.4714685125350092,0.5690583893304636,0.4762275956706334,0.5171761706382692,0.7932439600387144
